order_id,order_date,product_id,product_category,region,warehouse_id,stock_level,restock_lead_time,supplier_id,supplier_lead_time,demand_forecast,actual_demand,weather_impact,fuel_price,logistics_delay
ORD000022,2023-08-07,P360,Electronics,South America,WH10,551.0,10,S015,11,848,658,Clear,1.28,8
ORD000023,2024-02-12,P312,Automobile,Asia,WH10,245.0,14,S079,11,548,643,Clear,1.04,2
ORD000024,2024-11-14,P383,Automobile,South America,WH06,184.0,1,S075,21,90,-15,Rainy,0.92,5
ORD000025,2022-09-20,P427,Groceries,North America,WH13,718.0,2,S023,6,375,128,Clear,1.5,4
ORD000026,2024-10-27,P385,Groceries,North America,WH10,493.0,7,S007,7,370,294,Clear,1.49,2
ORD000027,2024-01-30,P344,Automobile,Europe,WH18,932.0,14,S066,24,315,366,Rainy,1.15,0
ORD000028,2024-10-27,P254,Apparel,Asia,WH13,504.0,10,S085,27,556,491,Clear,1.14,7
ORD000029,2023-09-28,P036,Electronics,North America,WH16,504.0,6,S074,29,904,818,Clear,1.22,2
ORD000030,2024-06-23,P006,Apparel,South America,WH05,504.0,12,S070,5,836,798,Rainy,1.17,8
ORD000031,2023-12-21,P330,Apparel,Europe,WH04,215.0,12,S066,16,301,146,Clear,1.47,1
ORD000032,2022-04-04,P495,Apparel,Asia,WH15,504.0,5,S063,8,867,893,Rainy,0.89,2
ORD000033,2024-07-02,P488,Furniture,North America,WH19,221.0,1,S076,13,378,452,Clear,1.32,3
ORD000034,2022-08-28,P302,Furniture,Africa,WH07,876.0,6,S051,12,293,428,Snowy,1.15,4
ORD000035,2023-04-06,P482,Apparel,Europe,WH02,483.0,13,S082,11,473,516,Clear,1.1,9
ORD000036,2023-11-05,P472,Groceries,Europe,WH09,521.0,3,S070,14,621,394,Clear,0.83,6
ORD000037,2023-01-24,P407,Groceries,Asia,WH09,846.0,3,S055,21,582,702,Rainy,0.96,7
ORD000038,2022-03-28,P020,Automobile,Europe,WH09,337.0,5,S032,7,376,240,Clear,0.98,1
ORD000039,2022-11-11,P437,Electronics,Asia,WH09,435.0,14,S085,21,1266,1412,Clear,1.33,9
ORD000040,2024-04-29,P422,Furniture,Africa,WH06,161.0,8,S098,15,317,371,Clear,0.91,8
ORD000041,2023-09-30,P291,Apparel,Asia,WH02,732.0,3,S008,19,746,859,Clear,1.2,5
ORD000042,2024-08-28,P162,Furniture,Europe,WH13,521.0,7,S092,22,369,341,Clear,0.99,2
ORD000043,2022-06-14,P238,Automobile,North America,WH03,673.0,6,S092,22,264,191,Stormy,1.46,5
ORD000044,2024-10-25,P434,Groceries,Europe,WH06,519.0,10,S002,6,993,1010,Clear,1.08,4
ORD000045,2023-08-05,P047,Groceries,Europe,WH07,456.0,1,S024,21,1008,1088,Clear,0.87,1
ORD000046,2024-04-28,P292,Electronics,Asia,WH05,504.0,2,S051,27,133,191,Stormy,1.19,7
ORD000047,2022-04-18,P016,Electronics,Asia,WH15,444.0,8,S073,26,231,68,Snowy,1.42,1
ORD000048,2022-10-06,P471,Automobile,Europe,WH07,504.0,4,S031,19,723,804,Rainy,1.13,5
ORD000049,2025-01-03,P108,Electronics,North America,WH02,70.0,2,S004,6,532,674,Clear,0.85,5
ORD000050,2024-12-30,P177,Automobile,Europe,WH06,618.0,7,S071,8,271,278,Clear,1.24,6
ORD000051,2023-10-01,P065,Furniture,Europe,WH03,578.0,8,S079,26,1009,1139,Rainy,1.13,1
ORD000052,2024-02-15,P063,Apparel,South America,WH07,533.0,8,S093,29,823,639,Clear,1.45,1
ORD000053,2023-04-20,P308,Groceries,North America,WH14,885.0,1,S032,18,783,711,Clear,1.03,7
ORD000054,2024-03-13,P073,Apparel,Europe,WH14,326.0,1,S026,27,345,362,Clear,1.07,8
ORD000055,2022-08-23,P204,Furniture,Africa,WH15,185.0,5,S002,27,85,298,Clear,0.88,8
ORD000056,2022-10-02,P254,Electronics,North America,WH15,460.0,4,S045,22,216,325,Rainy,1.24,9
ORD000057,2024-12-04,P060,Groceries,North America,WH14,798.0,6,S065,14,429,361,Clear,0.99,3
ORD000058,2022-12-09,P101,Electronics,North America,WH06,577.0,3,S039,29,682,673,Clear,1.49,4
ORD000059,2024-06-07,P017,Apparel,North America,WH06,699.0,4,S059,28,708,812,Clear,1.21,8
ORD000060,2023-06-13,P195,Electronics,Asia,WH15,504.0,2,S080,22,889,979,Clear,0.98,6
ORD000061,2024-12-25,P251,Automobile,North America,WH18,889.0,2,S090,21,940,978,Clear,0.93,3
ORD000062,2023-01-04,P038,Apparel,Asia,WH13,120.0,9,S028,12,871,910,Clear,0.93,7
ORD000063,2024-03-03,P285,Electronics,North America,WH14,612.0,9,S085,23,687,626,Clear,1.28,4
ORD000064,2023-02-15,P031,Apparel,Africa,WH18,220.0,13,S044,8,286,336,Snowy,0.8,5
ORD000065,2024-08-09,P483,Electronics,South America,WH07,792.0,2,S055,13,747,741,Stormy,1.44,3
ORD000066,2025-02-23,P443,Electronics,Asia,WH14,11.0,12,S042,29,1111,1014,Clear,1.36,6
ORD000067,2024-05-14,P310,Apparel,South America,WH08,504.0,1,S059,15,237,77,Clear,0.89,8
ORD000068,2022-10-17,P358,Furniture,Asia,WH18,838.0,13,S007,24,1276,1392,Clear,1.41,1
ORD000069,2024-04-16,P181,Apparel,Asia,WH12,407.0,6,S066,27,323,412,Stormy,1.25,2
ORD000070,2022-09-18,P282,Groceries,North America,WH07,504.0,8,S065,17,309,317,Clear,1.23,6
ORD000071,2023-03-29,P141,Groceries,Europe,WH10,683.0,13,S068,15,300,167,Clear,0.96,6
ORD000072,2023-07-20,P245,Furniture,North America,WH06,914.0,14,S040,21,639,734,Snowy,0.89,5
ORD000073,2025-02-11,P441,Electronics,Europe,WH14,297.0,2,S017,19,214,140,Stormy,1.44,6
ORD000074,2022-03-29,P275,Apparel,North America,WH14,923.0,7,S072,19,139,240,Clear,0.95,6
ORD000075,2022-05-18,P224,Electronics,North America,WH16,549.0,1,S046,12,524,531,Clear,1.42,9
ORD000076,2023-08-17,P367,Electronics,Africa,WH18,958.0,9,S058,6,364,479,Snowy,1.25,4
ORD000077,2023-12-22,P027,Groceries,Africa,WH16,775.0,3,S081,14,384,247,Snowy,1.3,8
ORD000078,2025-03-05,P250,Apparel,Africa,WH07,110.0,10,S090,27,541,471,Rainy,0.9,9
ORD000079,2023-10-28,P231,Automobile,South America,WH11,349.0,8,S016,7,774,721,Rainy,1.08,0
ORD000080,2023-04-10,P013,Groceries,Asia,WH10,654.0,14,S025,8,908,843,Rainy,1.31,4
ORD000081,2023-05-07,P308,Electronics,Asia,WH17,398.0,8,S043,15,587,560,Stormy,0.82,1
ORD000082,2022-12-28,P098,Electronics,North America,WH10,758.0,2,S068,9,394,568,Stormy,1.12,6
ORD000083,2023-03-28,P192,Automobile,Asia,WH11,504.0,3,S011,10,682,762,Rainy,1.29,2
ORD000084,2022-10-31,P186,Electronics,Africa,WH02,757.0,7,S078,26,98,81,Clear,1.44,9
ORD000085,2024-12-26,P019,Furniture,Africa,WH06,404.0,12,S081,21,577,391,Rainy,1.11,2
ORD000086,2022-04-24,P339,Automobile,Europe,WH07,422.0,9,S021,22,608,776,Clear,1.07,1
ORD000087,2025-01-29,P259,Electronics,Europe,WH11,165.0,1,S097,9,449,465,Clear,1.16,3
ORD000088,2022-07-27,P067,Groceries,South America,WH14,381.0,2,S004,5,752,801,Clear,0.89,0
ORD000089,2022-10-01,P026,Groceries,Asia,WH02,80.0,10,S009,11,351,454,Rainy,1.35,9
ORD000090,2024-05-02,P006,Furniture,Europe,WH02,504.0,1,S058,20,867,892,Rainy,0.89,6
ORD000091,2024-09-29,P141,Automobile,Asia,WH19,10.0,10,S010,27,929,810,Clear,1.02,7
ORD000092,2025-02-03,P238,Automobile,Europe,WH05,341.0,5,S047,15,235,77,Rainy,0.82,2
ORD000093,2025-02-18,P230,Electronics,South America,WH08,650.0,1,S052,7,128,-45,Clear,0.84,6
ORD000094,2023-07-30,P027,Electronics,Africa,WH15,193.0,14,S023,13,482,455,Stormy,1.37,3
ORD000095,2023-04-25,P105,Apparel,North America,WH15,504.0,4,S085,26,837,819,Clear,0.87,5
ORD000096,2024-05-27,P344,Furniture,North America,WH11,105.0,13,S013,15,908,1080,Clear,0.86,6
ORD000097,2022-06-21,P010,Automobile,North America,WH13,314.0,14,S053,28,201,186,Rainy,1.18,2
ORD000098,2024-01-27,P272,Electronics,North America,WH17,67.0,6,S044,16,1064,1076,Rainy,0.98,5
ORD000099,2024-03-09,P279,Automobile,Africa,WH11,842.0,10,S042,21,655,543,Clear,0.89,2
ORD000100,2024-10-30,P303,Furniture,Europe,WH15,989.0,4,S055,7,303,148,Clear,1.09,4
ORD000101,2023-11-17,P012,Groceries,South America,WH16,156.0,7,S047,12,759,886,Rainy,1.49,9
ORD000102,2023-12-17,P156,Furniture,South America,WH19,230.0,5,S056,15,125,180,Clear,1.48,2
ORD000103,2025-01-06,P077,Automobile,North America,WH18,504.0,9,S090,17,382,481,Stormy,1.15,1
ORD000104,2023-07-30,P018,Electronics,North America,WH09,339.0,7,S080,14,1173,1116,Stormy,1.42,2
ORD000105,2024-04-19,P058,Automobile,North America,WH01,827.0,13,S056,12,706,567,Clear,0.96,9
ORD000106,2023-04-16,P130,Apparel,North America,WH19,477.0,10,S070,28,640,717,Clear,1.47,3
ORD000107,2024-08-01,P174,Furniture,Asia,WH07,19.0,5,S004,22,455,313,Clear,0.91,8
ORD000108,2024-05-17,P401,Apparel,Europe,WH03,864.0,9,S092,11,931,1134,Rainy,1.25,5
ORD000109,2023-04-11,P087,Automobile,North America,WH15,504.0,2,S092,24,235,185,Clear,0.88,5
ORD000110,2022-10-07,P320,Automobile,Europe,WH08,719.0,14,S070,6,379,519,Clear,0.92,2
ORD000111,2025-01-16,P343,Apparel,South America,WH14,504.0,13,S098,23,225,353,Stormy,0.8,8
ORD000112,2024-08-22,P449,Electronics,Europe,WH09,344.0,8,S055,23,664,715,Clear,0.98,1
ORD000113,2024-07-25,P054,Electronics,Asia,WH07,703.0,9,S078,21,193,309,Rainy,1.48,9
ORD000114,2024-03-26,P427,Furniture,South America,WH11,89.0,5,S018,5,240,169,Clear,1.15,6
ORD000115,2023-09-29,P078,Apparel,North America,WH07,957.0,2,S047,12,268,289,Clear,1.22,9
ORD000116,2024-12-29,P204,Furniture,North America,WH08,504.0,14,S098,13,915,1022,Clear,1.43,1
ORD000117,2022-06-18,P439,Furniture,South America,WH02,920.0,5,S046,14,848,744,Clear,1.43,8
ORD000118,2023-07-12,P270,Groceries,North America,WH06,64.0,14,S076,12,184,162,Stormy,1.41,9
ORD000119,2022-10-31,P497,Furniture,North America,WH14,473.0,1,S043,25,172,0,Clear,0.99,9
ORD000120,2024-04-01,P172,Furniture,North America,WH07,412.0,8,S072,15,811,651,Clear,1.04,7
ORD000121,2023-09-06,P038,Groceries,South America,WH16,40.0,6,S073,18,630,483,Rainy,1.03,3
ORD000122,2025-02-06,P186,Furniture,Asia,WH12,329.0,7,S017,10,1281,1475,Clear,0.87,7
ORD000123,2023-08-21,P361,Furniture,Asia,WH11,457.0,2,S086,23,608,465,Clear,1.36,6
ORD000124,2023-10-13,P236,Furniture,Europe,WH08,149.0,3,S093,6,217,281,Snowy,0.88,5
ORD000125,2024-01-25,P433,Apparel,Asia,WH13,504.0,8,S093,25,367,218,Clear,1.05,0
ORD000126,2023-09-22,P016,Groceries,Asia,WH05,504.0,1,S045,18,1262,1138,Clear,0.95,7
ORD000127,2024-12-21,P226,Electronics,North America,WH09,127.0,7,S067,23,253,11,Rainy,1.33,6
ORD000128,2023-12-20,P338,Furniture,Europe,WH06,384.0,2,S095,24,858,713,Rainy,0.86,0
ORD000129,2024-05-18,P496,Apparel,Asia,WH04,904.0,8,S085,16,757,913,Snowy,1.35,3
ORD000130,2025-01-29,P074,Apparel,Europe,WH02,441.0,7,S003,13,350,483,Clear,0.89,5
ORD000131,2022-09-20,P211,Apparel,South America,WH17,492.0,8,S038,10,356,167,Clear,1.46,4
ORD000132,2023-12-07,P286,Groceries,Asia,WH04,175.0,2,S013,11,258,278,Clear,1.11,9
ORD000133,2023-12-02,P324,Groceries,North America,WH01,731.0,5,S045,20,415,315,Rainy,1.24,0
ORD000134,2024-11-11,P327,Automobile,Africa,WH19,504.0,2,S018,5,261,384,Rainy,1.17,2
ORD000135,2024-02-22,P336,Furniture,North America,WH11,504.0,8,S055,7,222,275,Rainy,1.33,6
ORD000136,2023-12-23,P115,Electronics,Africa,WH09,488.0,10,S084,29,295,112,Clear,1.14,6
ORD000137,2023-01-26,P247,Electronics,Africa,WH13,269.0,7,S099,15,526,554,Rainy,0.84,5
ORD000138,2024-01-27,P037,Automobile,South America,WH15,504.0,1,S064,28,197,410,Rainy,0.99,4
ORD000139,2024-01-07,P453,Electronics,Asia,WH17,197.0,6,S001,24,1214,1307,Clear,1.46,2
ORD000140,2023-05-30,P055,Furniture,Africa,WH18,641.0,14,S054,6,462,306,Clear,1.22,0
ORD000141,2023-09-29,P167,Electronics,Africa,WH13,138.0,8,S065,20,165,237,Clear,0.97,2
ORD000142,2024-10-21,P441,Furniture,Africa,WH04,504.0,11,S076,23,103,107,Clear,1.26,1
ORD000143,2024-02-11,P177,Groceries,Europe,WH12,608.0,8,S098,7,250,289,Rainy,1.42,4
ORD000144,2022-07-05,P353,Groceries,Asia,WH07,755.0,6,S031,5,1107,1306,Clear,0.83,4
ORD000145,2022-03-16,P191,Furniture,Africa,WH05,504.0,10,S095,7,632,666,Snowy,1.46,5
ORD000146,2023-12-16,P099,Furniture,Asia,WH02,419.0,1,S035,27,776,641,Clear,0.83,9
ORD000147,2022-10-20,P112,Groceries,Europe,WH08,817.0,8,S011,17,203,317,Clear,0.84,6
ORD000148,2024-07-16,P118,Furniture,North America,WH07,565.0,14,S080,17,516,264,Clear,0.98,5
ORD000149,2023-04-03,P162,Automobile,North America,WH18,504.0,8,S070,20,123,207,Rainy,1.12,4
ORD000150,2025-02-23,P057,Groceries,Africa,WH13,899.0,7,S042,20,600,757,Clear,1.21,4
ORD000151,2024-03-13,P353,Electronics,Europe,WH14,366.0,10,S008,12,1034,976,Clear,1.47,2
ORD000152,2022-11-16,P062,Groceries,North America,WH10,670.0,9,S081,27,517,373,Clear,1.16,7
ORD000153,2024-06-27,P039,Electronics,South America,WH13,964.0,1,S027,23,720,557,Rainy,1.22,9
ORD000154,2022-10-03,P330,Electronics,South America,WH16,743.0,8,S024,15,810,748,Clear,1.45,5
ORD000155,2022-07-15,P323,Automobile,South America,WH13,635.0,8,S019,17,390,535,Stormy,1.04,6
ORD000156,2023-04-19,P446,Groceries,Africa,WH18,860.0,2,S022,23,362,442,Stormy,1.18,7
ORD000157,2024-04-19,P498,Groceries,Africa,WH15,504.0,8,S017,11,115,338,Rainy,1.09,9
ORD000158,2023-01-02,P029,Automobile,North America,WH08,409.0,2,S004,25,699,910,Snowy,0.95,3
ORD000159,2022-12-19,P227,Groceries,Africa,WH03,857.0,13,S003,18,476,248,Stormy,1.27,0
ORD000160,2024-08-14,P031,Electronics,North America,WH15,504.0,2,S069,11,952,1122,Rainy,1.1,7
ORD000161,2022-09-28,P316,Furniture,Africa,WH09,49.0,14,S020,15,126,292,Clear,1.16,8
ORD000162,2024-11-20,P039,Automobile,Europe,WH01,265.0,6,S095,17,905,1116,Clear,0.82,5
ORD000163,2024-04-04,P463,Automobile,Asia,WH18,504.0,4,S072,19,912,1097,Clear,1.22,3
ORD000164,2022-08-05,P001,Furniture,South America,WH16,118.0,11,S047,9,376,369,Stormy,1.27,2
ORD000165,2023-11-13,P056,Electronics,South America,WH08,66.0,14,S090,17,646,600,Clear,1.09,7
ORD000166,2022-09-17,P467,Furniture,Europe,WH17,230.0,3,S029,16,1059,1182,Clear,1.11,6
ORD000167,2023-06-21,P357,Groceries,Africa,WH07,49.0,5,S092,11,338,478,Clear,1.15,6
ORD000168,2024-01-03,P186,Furniture,North America,WH19,339.0,13,S041,19,1017,1065,Rainy,1.3,5
ORD000169,2024-04-16,P091,Automobile,Asia,WH17,159.0,3,S064,9,1030,915,Clear,1.31,6
ORD000170,2024-10-24,P405,Apparel,North America,WH10,973.0,3,S018,25,810,935,Stormy,0.94,2
ORD000171,2023-04-21,P438,Groceries,Asia,WH07,658.0,9,S058,13,1251,1173,Snowy,1.15,3
ORD000172,2022-08-08,P199,Furniture,North America,WH10,43.0,8,S078,20,621,529,Clear,1.07,4
ORD000173,2024-07-25,P171,Furniture,Asia,WH06,85.0,1,S059,28,867,781,Clear,1.4,8
ORD000174,2023-07-16,P225,Electronics,Europe,WH07,938.0,3,S062,12,478,423,Clear,1.4,2
ORD000175,2024-09-28,P182,Groceries,Europe,WH04,903.0,3,S095,12,1014,1050,Clear,0.85,1
ORD000176,2023-09-16,P130,Electronics,Europe,WH06,504.0,9,S010,18,333,106,Stormy,1.09,8
ORD000177,2023-02-15,P142,Automobile,Africa,WH19,554.0,1,S057,13,427,585,Clear,1.0,2
ORD000178,2024-08-02,P362,Automobile,Asia,WH02,564.0,12,S005,10,608,444,Rainy,1.0,7
ORD000179,2023-12-15,P131,Electronics,North America,WH08,290.0,4,S087,11,788,730,Clear,0.86,2
ORD000180,2023-06-30,P142,Groceries,Africa,WH04,437.0,12,S071,5,104,212,Clear,1.27,4
ORD000181,2022-08-12,P005,Electronics,Asia,WH17,504.0,1,S064,20,187,312,Clear,0.88,0
ORD000182,2022-12-02,P337,Electronics,Africa,WH14,361.0,4,S083,14,239,108,Snowy,1.1,5
ORD000183,2022-08-05,P167,Groceries,South America,WH13,504.0,8,S092,25,297,187,Rainy,1.35,0
ORD000184,2023-02-23,P385,Automobile,Africa,WH09,655.0,9,S055,16,360,402,Stormy,1.37,7
ORD000185,2023-11-28,P120,Apparel,South America,WH14,361.0,11,S024,24,90,272,Clear,0.95,0
ORD000186,2024-12-25,P043,Electronics,Africa,WH03,383.0,9,S027,13,100,92,Clear,1.09,3
ORD000187,2024-08-11,P092,Electronics,North America,WH14,428.0,9,S033,29,141,254,Clear,0.88,7
ORD000188,2022-03-16,P230,Furniture,South America,WH03,151.0,8,S091,20,880,701,Stormy,1.22,2
ORD000189,2024-08-27,P240,Groceries,South America,WH02,861.0,7,S005,29,217,396,Clear,1.42,9
ORD000190,2022-11-23,P187,Furniture,South America,WH01,132.0,11,S087,14,576,430,Clear,1.26,5
ORD000191,2023-06-10,P078,Automobile,Europe,WH16,504.0,1,S006,7,276,280,Clear,1.39,6
ORD000192,2025-02-07,P465,Furniture,Asia,WH03,463.0,7,S002,28,1015,856,Clear,1.15,1
ORD000193,2024-12-23,P271,Groceries,Asia,WH16,432.0,9,S071,19,414,558,Stormy,0.82,2
ORD000194,2022-03-23,P046,Electronics,Africa,WH08,504.0,11,S011,12,174,45,Stormy,1.24,1
ORD000195,2024-06-07,P007,Electronics,Asia,WH19,826.0,6,S002,21,286,77,Clear,0.91,9
ORD000196,2022-10-08,P170,Apparel,Africa,WH07,551.0,11,S056,13,248,125,Clear,0.84,7
ORD000197,2023-04-22,P115,Automobile,South America,WH17,218.0,12,S027,15,747,580,Clear,1.29,4
ORD000198,2022-08-13,P263,Electronics,Asia,WH04,965.0,13,S064,15,1144,1204,Clear,1.37,2
ORD000199,2022-05-07,P431,Furniture,Africa,WH15,284.0,14,S090,21,671,578,Clear,1.18,3
ORD000200,2023-12-02,P344,Apparel,South America,WH02,238.0,4,S086,8,468,646,Stormy,0.97,2
ORD000201,2023-10-22,P346,Apparel,Europe,WH12,292.0,2,S089,29,777,597,Clear,0.96,6
ORD000202,2022-06-26,P462,Automobile,North America,WH08,916.0,5,S066,21,520,466,Stormy,0.83,6
ORD000203,2022-11-23,P239,Apparel,Asia,WH10,549.0,5,S013,12,867,1018,Rainy,0.8,2
ORD000204,2023-08-06,P275,Groceries,South America,WH13,377.0,8,S075,28,858,1015,Clear,1.22,4
ORD000205,2022-06-21,P309,Furniture,North America,WH02,563.0,4,S042,10,315,425,Clear,0.81,2
ORD000206,2022-08-14,P346,Apparel,North America,WH19,610.0,9,S095,29,327,204,Snowy,1.03,1
ORD000207,2024-09-13,P016,Electronics,Africa,WH02,865.0,2,S081,29,415,340,Stormy,1.13,2
ORD000208,2024-08-08,P482,Furniture,Europe,WH10,689.0,12,S068,5,215,229,Stormy,1.16,2
ORD000209,2023-02-15,P062,Automobile,Africa,WH15,430.0,13,S075,20,242,276,Snowy,1.11,5
ORD000210,2024-06-13,P194,Apparel,Europe,WH17,738.0,9,S099,10,203,35,Clear,1.12,0
ORD000211,2024-10-26,P321,Furniture,North America,WH04,268.0,5,S057,20,814,890,Clear,0.89,5
ORD000212,2022-08-22,P368,Electronics,North America,WH18,113.0,1,S087,25,628,736,Rainy,1.1,8
ORD000213,2024-05-23,P435,Apparel,Asia,WH12,334.0,2,S037,7,435,269,Clear,0.85,4
ORD000214,2023-04-16,P292,Automobile,North America,WH08,618.0,2,S040,29,308,510,Clear,0.88,3
ORD000215,2024-06-07,P163,Automobile,Africa,WH10,900.0,3,S054,24,378,218,Clear,1.13,7
ORD000216,2023-04-19,P235,Automobile,Africa,WH15,511.0,8,S079,28,112,21,Rainy,1.17,1
ORD000217,2023-12-14,P280,Apparel,North America,WH17,385.0,6,S001,13,720,542,Rainy,0.84,2
ORD000218,2025-02-03,P241,Apparel,North America,WH19,814.0,11,S057,25,184,213,Stormy,0.94,3
ORD000219,2024-01-31,P325,Apparel,Europe,WH16,206.0,1,S022,22,539,742,Stormy,1.39,7
ORD000220,2023-06-17,P375,Electronics,North America,WH09,165.0,8,S048,11,870,921,Clear,1.46,7
ORD000221,2024-10-24,P413,Automobile,North America,WH06,164.0,3,S055,17,625,401,Snowy,1.18,2
ORD000222,2023-06-27,P233,Furniture,Africa,WH03,189.0,3,S080,26,164,-10,Clear,1.39,6
ORD000223,2025-01-23,P129,Furniture,Africa,WH07,148.0,5,S023,25,584,546,Clear,1.03,4
ORD000224,2024-04-02,P441,Apparel,Africa,WH19,51.0,9,S090,10,570,574,Stormy,1.5,2
ORD000225,2022-04-21,P123,Automobile,Asia,WH09,45.0,10,S008,11,972,1112,Clear,1.45,2
ORD000226,2022-10-30,P137,Automobile,Europe,WH06,504.0,4,S073,6,259,413,Rainy,1.03,2
ORD000227,2023-09-28,P356,Apparel,Europe,WH04,504.0,3,S039,19,601,749,Rainy,0.81,8
ORD000228,2023-05-26,P464,Electronics,North America,WH09,985.0,1,S068,13,1051,886,Stormy,0.92,8
ORD000229,2022-04-10,P015,Furniture,North America,WH02,498.0,6,S091,6,297,209,Rainy,1.39,8
ORD000230,2022-10-26,P330,Furniture,South America,WH15,279.0,12,S063,29,396,272,Rainy,1.25,7
ORD000231,2024-05-20,P229,Groceries,Africa,WH04,905.0,4,S095,12,638,604,Clear,0.83,4
ORD000232,2022-12-23,P144,Apparel,Europe,WH16,504.0,3,S031,26,913,997,Clear,1.22,5
ORD000233,2024-08-09,P230,Furniture,South America,WH11,118.0,12,S040,28,121,-35,Clear,1.29,8
ORD000234,2024-10-29,P176,Furniture,Asia,WH09,259.0,7,S012,12,356,414,Clear,0.96,3
ORD000235,2023-06-10,P292,Electronics,Asia,WH10,240.0,14,S088,21,959,843,Clear,0.8,1
ORD000236,2024-12-28,P246,Apparel,Africa,WH16,67.0,7,S048,13,136,247,Clear,0.81,2
ORD000237,2024-06-07,P053,Apparel,Europe,WH02,504.0,12,S070,27,884,750,Clear,0.88,9
ORD000238,2024-01-02,P335,Furniture,South America,WH08,504.0,2,S076,24,179,271,Clear,1.3,2
ORD000239,2023-09-12,P387,Furniture,North America,WH19,527.0,5,S076,22,1032,823,Rainy,1.08,2
ORD000240,2025-02-19,P147,Automobile,Africa,WH07,552.0,13,S056,19,361,443,Clear,1.21,1
ORD000241,2022-03-31,P041,Groceries,Africa,WH15,504.0,12,S026,16,661,553,Clear,1.18,9
ORD000242,2022-08-19,P293,Furniture,Africa,WH04,162.0,14,S049,25,504,337,Clear,1.05,3
ORD000243,2023-07-04,P240,Apparel,North America,WH10,504.0,5,S081,13,948,759,Snowy,1.13,9
ORD000244,2025-02-16,P443,Automobile,Africa,WH16,721.0,3,S059,25,148,32,Rainy,1.18,4
ORD000245,2023-08-14,P195,Electronics,South America,WH14,504.0,13,S041,13,157,71,Rainy,1.24,9
ORD000246,2022-06-21,P136,Apparel,North America,WH15,844.0,8,S068,12,802,774,Clear,0.98,4
ORD000247,2025-02-07,P088,Automobile,Asia,WH03,504.0,10,S066,29,769,1029,Stormy,0.93,8
ORD000248,2022-12-19,P270,Apparel,Asia,WH12,101.0,14,S013,19,673,669,Clear,1.22,8
ORD000249,2023-07-24,P254,Apparel,Africa,WH10,763.0,4,S099,29,441,556,Rainy,1.38,4
ORD000250,2023-01-10,P189,Apparel,North America,WH12,270.0,3,S094,14,1010,1025,Stormy,1.28,5
ORD000251,2022-09-11,P291,Furniture,South America,WH16,473.0,6,S078,24,113,197,Clear,1.34,5
ORD000252,2023-11-11,P400,Furniture,Europe,WH18,504.0,12,S065,20,666,640,Snowy,0.91,7
ORD000253,2024-02-12,P071,Groceries,South America,WH04,940.0,9,S012,8,405,452,Snowy,1.48,9
ORD000254,2024-12-01,P233,Electronics,North America,WH05,504.0,1,S040,8,1136,1130,Clear,1.26,6
